Name,TotalForce,COP X,COP Y,Velocity X,Velocity Y,time stamp
Chengyi,-4.608907,775.905,418.1503,-280.1086,479.2892,2020/10/22 16:04:34
Chengyi,-4.890554,753.5633,395.4096,-1117.087,-1137.036,2020/10/22 16:04:34
Chengyi,-4.806708,774.2958,409.6223,1036.624,710.6339,2020/10/22 16:04:34
Chengyi,-4.671659,771.6092,424.9579,-134.3292,766.7816,2020/10/22 16:04:34
Chengyi,-4.8662,788.7892,399.3487,859.0027,-1280.461,2020/10/22 16:04:34
Chengyi,-4.678732,777.2955,414.9671,-574.6857,780.9204,2020/10/22 16:04:34
Chengyi,-4.75538,781.6063,409.2179,215.5396,-287.4603,2020/10/22 16:04:34
Chengyi,-4.900568,760.2068,395.0079,-1069.977,-710.5011,2020/10/22 16:04:34
Chengyi,-4.728467,784.9796,410.1293,1238.641,756.0715,2020/10/22 16:04:34
Chengyi,-4.939654,767.5704,388.4487,-870.462,-1084.029,2020/10/22 16:04:34
Chengyi,-4.808927,774.8569,408.5197,364.328,1003.549,2020/10/22 16:04:34
Chengyi,-4.914254,754.799,399.3504,-1002.899,-458.4656,2020/10/22 16:04:34
Chengyi,-4.700378,789.292,408.4312,1724.652,454.0405,2020/10/22 16:04:34
Chengyi,-4.842989,780.8964,403.1899,-419.7815,-262.0636,2020/10/22 16:04:34
Chengyi,-4.843946,768.8792,397.8015,-600.8575,-269.4214,2020/10/22 16:04:34
Chengyi,-4.89334,764.9636,395.0919,-195.7794,-135.4828,2020/10/22 16:04:34
Chengyi,-4.878533,761.7614,399.4771,-160.1105,219.2612,2020/10/22 16:04:34
Chengyi,-4.74725,773.2016,402.3513,572.0093,143.7088,2020/10/22 16:04:34
Chengyi,-4.716188,764.8169,414.4629,-419.2352,605.5801,2020/10/22 16:04:34
Chengyi,-4.776733,770.5554,409.0259,286.9232,-271.8475,2020/10/22 16:04:34
Chengyi,-4.742545,770.2312,406.3532,-16.20789,-133.6334,2020/10/22 16:04:34
Chengyi,-4.83216,769.5399,400.9814,-34.56421,-268.5898,2020/10/22 16:04:34
Chengyi,-4.832205,754.8714,406.2875,-733.4259,265.3046,2020/10/22 16:04:34
Chengyi,-4.856801,766.9868,398.8743,605.7678,-370.6619,2020/10/22 16:04:34
Chengyi,-4.727791,766.3013,411.1799,-34.27429,615.2802,2020/10/22 16:04:34
Chengyi,-4.880447,759.2786,395.8644,-351.1353,-765.7761,2020/10/22 16:04:34
Chengyi,-4.924052,772.8365,392.9557,677.8992,-145.4315,2020/10/22 16:04:34
Chengyi,-4.803557,765.085,407.2976,-387.5793,717.0914,2020/10/22 16:04:34
Chengyi,-4.817021,759.7712,403.874,-265.686,-171.1807,2020/10/22 16:04:35
Chengyi,-4.807836,769.3011,412.1125,476.4923,411.9263,2020/10/22 16:04:35
Chengyi,-4.778193,771.6168,409.8528,115.7867,-112.9868,2020/10/22 16:04:35
Chengyi,-4.874166,765.4593,398.3904,-307.8766,-573.1186,2020/10/22 16:04:35
Chengyi,-4.931681,763.5768,394.4712,-94.12537,-195.961,2020/10/22 16:04:35
Chengyi,-4.690021,794.1105,413.486,1526.688,950.7431,2020/10/22 16:04:35
Chengyi,-4.797209,768.4182,407.3567,-1284.619,-306.4667,2020/10/22 16:04:35
Chengyi,-4.74814,763.1788,411.9955,-261.9659,231.9397,2020/10/22 16:04:35
Chengyi,-4.758601,775.8016,412.4158,631.1401,21.01593,2020/10/22 16:04:35
Chengyi,-4.901875,775.17,388.8626,-31.57959,-1177.66,2020/10/22 16:04:35
Chengyi,-4.718398,764.6201,412.4727,-527.4963,1180.502,2020/10/22 16:04:35
Chengyi,-4.836125,758.1779,408.3999,-322.11,-203.6362,2020/10/22 16:04:35
Chengyi,-4.797407,770.2186,403.8766,602.0325,-226.1642,2020/10/22 16:04:35
Chengyi,-4.640997,777.177,422.8104,347.9218,946.6858,2020/10/22 16:04:35
Chengyi,-4.688411,783.7162,415.4489,326.9592,-368.071,2020/10/22 16:04:35
Chengyi,-4.893244,747.4834,398.5275,-1811.639,-846.0724,2020/10/22 16:04:35
Chengyi,-4.766094,776.4921,406.896,1450.433,418.4235,2020/10/22 16:04:35
Chengyi,-4.757128,765.8111,413.4533,-534.0485,327.8671,2020/10/22 16:04:35
